"id","time","target","pd","score"
1,25,0,0.0389867570982132,618
1,37,1,0.0399091673460163,616
2,25,0,0.259009256194369,464
4,25,0,0.134847101295848,521
4,37,0,0.110931577433299,537
4,49,0,0.0613023716485923,584
5,25,0,0.240655493860607,471
6,25,0,0.225287747085825,478
6,37,0,0.318944297440756,443
6,49,1,0.087216893786695,558
7,25,0,0.30946310051289,445
9,25,1,0.259009256194369,464
10,25,1,0.220179592744664,480
11,25,0,0.339161270744101,435
12,25,0,0.183382697407458,496
13,25,0,0.285869991676795,454
14,25,0,0.240655493860607,471
15,25,0,0.339161270744101,435
16,25,1,0.210184410135792,483
17,25,0,0.163941107635785,506
18,25,1,0.318875738432619,442
19,25,1,0.285869991676795,454
20,25,0,0.246088779152032,469
21,25,0,0.212594501845135,483
22,25,1,0.210184410135792,483
24,25,1,0.204681743046692,486
25,25,1,0.205356922807043,486
26,25,0,0.101640322774575,545
26,37,0,0.256082131430006,465
26,49,0,0.0476352493661736,604
27,25,0,0.285869991676795,454
28,25,0,0.259009256194369,464
28,37,0,0.197745054706047,489
28,49,0,0.0580927409209693,589
29,25,1,0.132422405756761,524
30,25,0,0.22180496990977,479
31,25,0,0.288928166472653,452
31,37,0,0.277984475844283,456
31,49,0,0.0491885751209132,601
33,25,0,0.0813913762502841,563
34,25,0,0.285869991676795,454
35,25,0,0.240655493860607,471
36,25,0,0.210184410135792,483
37,25,0,0.225287747085825,478
39,25,0,0.174916702806818,500
42,25,0,0.178305755459101,498
44,25,0,0.240655493860607,471
45,25,1,0.158040700930384,509
46,25,1,0.205356922807043,486
47,25,0,0.22180496990977,479
48,25,0,0.22180496990977,479
49,25,1,0.288928166472653,452
50,25,0,0.30946310051289,445
51,25,0,0.210184410135792,483
53,25,0,0.267481723081609,461
54,25,0,0.221326411579267,479
55,25,0,0.248747703434209,468
56,25,0,0.0364550287823779,624
56,37,0,0.0373198655392469,622
56,49,0,0.0198868424334789,669
57,25,0,0.0364550287823779,624
57,37,0,0.0373198655392469,622
57,49,0,0.0198868424334789,669
59,25,0,0.0258461991467786,649
62,33,0,0.292727804740228,451
63,33,0,0.343302577034407,434
65,33,0,0.322890375135792,441
65,45,0,0.283294829564237,455
65,58,0,0.133704050926139,523
66,33,0,0.293580267325612,451
66,45,0,0.296992594046074,450
66,58,0,0.151375756697861,512
68,33,0,0.292727804740228,451
69,33,0,0.186330507261063,494
69,45,0,0.188829471119185,493
69,58,0,0.0894943149659281,555
70,33,1,0.343302577034407,434
72,33,1,0.242530086456202,469
73,33,0,0.292727804740228,451
74,33,1,0.343302577034407,434
75,33,0,0.343302577034407,434
76,33,1,0.31341376140393,444
77,33,1,0.292727804740228,451
78,33,0,0.255033011897418,465
80,33,0,0.292727804740228,451
80,45,0,0.29613437676628,450
80,58,0,0.141098557559376,518
81,25,0,0.130156688250257,526
83,33,1,0.31341376140393,444
84,33,0,0.317747643556816,443
85,25,0,0.110136401755348,540
86,33,0,0.343302577034407,434
87,33,1,0.317747643556816,443
88,25,0,0.394115270467358,419
88,37,1,0.381323992793965,423
89,33,1,0.317747643556816,443
90,33,0,0.314299694515275,444
91,33,0,0.257189515805462,463
92,33,1,0.317747643556816,443
93,25,1,0.340640787756134,436
94,33,1,0.31341376140393,444
95,25,1,0.394115270467358,419
96,25,0,0.138208701343049,520
98,33,1,0.322890375135792,441
99,25,0,0.237352972787328,473
100,25,0,0.298525671663053,450
100,37,1,0.358496177815335,430
101,25,0,0.335354659567465,437
102,25,0,0.280829156752927,457
103,25,0,0.222302288495951,479
104,25,0,0.192741135880659,492
104,37,0,0.368627261073765,427
104,49,0,0.0912519792440281,554
105,25,0,0.18601977123952,495
106,25,0,0.298525671663053,450
107,25,0,0.343656585468382,435
108,25,0,0.130156688250257,526
109,25,1,0.138150908419462,520
110,25,1,0.294860244817997,452
111,25,1,0.232556907166764,473
112,25,1,0.416501966498495,412
113,25,0,0.298525671663053,450
113,37,0,0.358496177815335,430
113,49,0,0.151809968377413,512
115,25,1,0.359604798071046,430
116,25,0,0.243122240208245,469
117,25,0,0.389241020308012,420
117,37,1,0.395043815033533,418
119,25,1,0.377892241759738,424
120,25,0,0.319436296367606,443
121,25,0,0.260359117743588,464
122,25,0,0.357530169915819,430
124,25,0,0.307775090290387,447
125,25,0,0.25454996838273,466
126,25,0,0.260359117743588,464
126,37,0,0.316117606696602,444
126,49,0,0.12895280496093,526
127,25,0,0.254273419232465,467
128,25,1,0.175400291618563,501
130,25,0,0.183374625240021,497
131,25,1,0.223997323778648,478
133,25,0,0.349607000929572,433
133,37,1,0.413786019869731,413
134,25,0,0.285731859085743,454
134,37,0,0.413786019869731,413
134,49,0,0.184385382008287,495
135,25,0,0.223997323778648,478
135,37,0,0.413786019869731,413
135,49,0,0.108257123393938,540
136,25,0,0.336688813308573,438
136,37,0,0.342147047918772,436
136,49,0,0.0821057912847509,563
137,25,1,0.314075491209608,445
138,25,0,0.192741135880659,492
139,25,0,0.262747763862932,463
140,25,0,0.314962436767249,445
140,37,1,0.425426775520952,410
143,25,0,0.14495610599921,517
144,25,0,0.398916714883066,418
145,25,0,0.370980879364953,426
146,25,0,0.223019293806576,479
146,37,0,0.316117606696602,444
146,49,0,0.107714298799935,541
149,25,0,0.237707114855053,472
150,25,1,0.426914812391434,409
151,25,1,0.377892241759738,424
152,25,0,0.278582838905513,457
153,25,0,0.307775090290387,447
153,37,0,0.368627261073765,427
153,49,0,0.157534473613408,509
154,25,1,0.260359117743588,464
156,25,0,0.150233768709101,513
157,25,0,0.426914812391434,409
157,37,0,0.413786019869731,413
157,49,0,0.184385382008287,495
159,26,0,0.2800669066914,455
160,26,0,0.305800453059644,448
160,38,1,0.316117606696602,444
161,26,0,0.333604222754401,438
